"dim1","dim2","id"
-0.499897191263316,-0.0384222353868511,"P01"
-0.5579137737654,-0.0487544393392498,"P02"
-0.151580915405836,-0.0357780091302696,"P03"
-0.516229250487986,-0.165745000059093,"P04"
-0.0717827824603289,0.285973230589397,"P05"
-0.513981454519404,0.0151988610831839,"P06"
0.0322095565482313,0.222654312766085,"P07"
-0.384421552170984,-0.0124716614665678,"P08"
-0.252985817413624,0.00855461262409277,"P09"
-0.535697531533699,-0.0368150168976842,"P10"
-0.172555388063895,-0.0889241266033337,"P11"
-0.533578146226998,-0.205542120034712,"P12"
-0.0268998351744002,0.261086931559278,"P13"
-0.507110323322038,0.0217377824793544,"P14"
0.0602703686428789,0.202374243791393,"P15"
-0.361571706023948,0.019962523080073,"P16"
-0.0259408185526507,0.208200383372234,"P17"
-0.52071627746167,-0.0536927624975853,"P18"
0.00494626096601969,0.0427357114492221,"P19"
-0.520740024868888,-0.147625831666692,"P20"
0.0772528180016541,0.351851227774904,"P21"
-0.467848527650265,0.0736835971032041,"P22"
0.165879448939508,0.297047431736306,"P23"
-0.19022972754356,0.189791179515891,"P24"
-0.0727419520538368,0.114860361463487,"P25"
-0.543713175010272,-0.0720994648076486,"P26"
0.0275636921301806,0.0604806017982764,"P27"
-0.470278331924477,-0.217993849289764,"P28"
0.0974663024527349,0.346194075154523,"P29"
-0.403334205961067,0.298858911585603,"P30"
0.190244133742259,0.236154178004187,"P31"
-0.0855170603727889,0.24084599513968,"P32"
