"dim1","dim2","id","quadrant","panel","point_type"
-0.0211156435440365,-0.0451566455900069,"P17","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.417808828473227,-0.16708899006895,"P18","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
0.131595868795752,-0.206489692381044,"P19","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.244329963365039,-0.327408846504379,"P20","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.0403330087740276,0.219830759485357,"P21","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.388392839362046,0.321691092890706,"P22","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
0.131261038755761,0.0963294262335618,"P23","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.160013344795403,0.236188192759231,"P24","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
0.0312051568366488,-0.107295548829582,"P25","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.425403755051866,-0.249504261242644,"P26","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
0.141424084487031,-0.249303007950834,"P27","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.201523973447167,-0.456597243859908,"P28","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.028569203148332,0.253172867820202,"P29","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.389585788384108,0.357875197664412,"P30","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
0.194260528655096,0.197265440484049,"P31","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
-0.0971961192897923,0.323638490121675,"P32","HV_LA","High valence / low arousal
Stress-1 = 0.128","OCEAN persona"
0.199732927775846,0.269678106495211,"P01","LV_HA","Low valence / high arousal
Stress-1 = 0.087","OCEAN persona"
-0.0155585733343998,0.190157720093073,"P02","LV_HA","Low valence / high arousal
Stress-1 = 0.087","OCEAN persona"
0.377434727942469,0.275193686214281,"P03","LV_HA","Low valence / high arousal
Stress-1 = 0.087","OCEAN persona"
0.166474762567933,0.196224239522622,"P04","LV_HA","Low valence / high arousal
Stress-1 = 0.087","OCEAN persona"
0.153142864965524,0.291481056043979,"P05","LV_HA","Low valence / high arousal
Stress-1 = 0.087","OCEAN persona"
