"dim1","dim2","id"
-0.381597175114843,-0.0515568458140782,"P01"
-0.558962703670334,-0.127787402730853,"P02"
-0.179486294311227,-0.152360917813688,"P03"
-0.510629345068829,-0.216488299305023,"P04"
-0.0912703246747413,0.190733420031013,"P05"
-0.524037756155864,-0.0320487909777913,"P06"
-0.00209247367867003,0.125836358771315,"P07"
-0.310169689213187,0.0578070687312057,"P08"
-0.242154059196943,0.00457335448678008,"P09"
-0.509134407906031,-0.0958911536760599,"P10"
-0.209639043857761,-0.156544969448852,"P11"
-0.49954990140492,-0.222008750835928,"P12"
-0.0762747098863084,0.173621204090629,"P13"
-0.475879377030577,0.0144413796552787,"P14"
0.0059508526482985,0.12368073257657,"P15"
-0.263621311087542,0.0497543560811444,"P16"
-0.0456313754335384,0.141277426966056,"P17"
-0.505983994244881,-0.0926159043585549,"P18"
0.00401345401189113,-0.0491430653248776,"P19"
-0.463839993071483,-0.198935222894861,"P20"
0.0646253915332665,0.304346329090671,"P21"
-0.426003820536187,0.093268560644346,"P22"
0.133950487540071,0.218497830611082,"P23"
-0.211210862886761,0.188436095903972,"P24"
-0.0747404859637847,0.0315069122691624,"P25"
-0.530918210683273,-0.139395540676401,"P26"
0.00418717544776321,-0.0819794475613306,"P27"
-0.395689640759863,-0.247201790495194,"P28"
0.0836431963343343,0.27806481345194,"P29"
-0.281395750441458,0.328727535577229,"P30"
0.160949788709376,0.211155281572238,"P31"
-0.0816189645277955,0.260981441007576,"P32"
