family,params,valence_R2,valence_RMSE,arousal_R2,arousal_RMSE,mean_R2,stim_sd_valence,stim_sd_arousal,stim_range_valence,stim_range_arousal,range_ratio_valence,range_ratio_arousal,discrimination,gated_in,selected
mlp,"{'hidden_layer_sizes': (128, 64), 'alpha': 0.01}",0.2575196180679291,0.280456917558313,0.34953324609576353,0.2933787961259241,0.3035264320818463,0.33786839200047586,0.46192397885206093,1.5550485174103974,1.8146148478943012,1.2047069294706407,1.5744968107844912,1.2047069294706407,False,False
svr_linear,{'C': 10.0},0.4479224988986529,0.24183752483899248,0.5974723708736769,0.23078842198702745,0.5226974348861648,0.23971054791152632,0.2466571582517556,1.1023241949135354,1.1044333837808722,0.9912049342678221,1.0687588056978878,0.9912049342678221,True,True
ridge,{'alpha': 100.0},0.4580266889062534,0.23961423514037547,0.6113585210024053,0.22677268655206329,0.5346926049543294,0.19894533949645538,0.27857193964125215,0.840129181794363,1.1796807495956012,0.83027345758446,1.2284192769277644,0.83027345758446,True,False
svr_rbf,"{'C': 1.0, 'gamma': 0.001}",0.4726672431637605,0.23635567795267784,0.6142744517019303,0.2259203605965057,0.5434708474328453,0.1927823825356636,0.1501235195139166,0.7794313188251204,0.6243465709963582,0.815645235204638,0.6644975207968863,0.6644975207968863,True,False
gbr,"{'n_estimators': 400, 'learning_rate': 0.05}",0.4582310571464876,0.23956905380411903,0.5884362388748523,0.2333644693658695,0.52333364801067,0.12272005464404653,0.13506385585325065,0.626556448629922,0.5252975640603545,0.5122533678510381,0.5787678656492353,0.5122533678510381,True,False
rf,"{'max_depth': 20, 'min_samples_leaf': 1}",0.4593853821647501,0.23931369770017843,0.5809948494489505,0.23546472291413634,0.5201901158068503,0.07413282038273178,0.0635859577658325,0.30202015056818204,0.2784495577651514,0.30977257505589284,0.27004451868155005,0.27004451868155005,True,False
