"dim1","dim2","id"
-0.215899746711207,0.0834212839593796,"P01"
-0.560998372198267,0.0746953975001563,"P02"
-0.142798403792577,-0.138634439419709,"P03"
-0.550620669357622,-0.107079783998049,"P04"
0.0018322509662585,0.233841586472806,"P05"
-0.334941249541204,0.256978546890323,"P06"
0.229813440578525,0.159042550453966,"P07"
-0.0552804381954408,0.244046460253577,"P08"
-0.198679684541509,0.042868499579798,"P09"
-0.494223841625014,0.107623532284148,"P10"
-0.180414240690032,-0.111643450487022,"P11"
-0.561529741429045,-0.0946325930367778,"P12"
0.011106410787026,0.182090421706396,"P13"
-0.255052925021012,0.280428919029209,"P14"
0.188796757962117,0.137710672359266,"P15"
-0.0608002720367201,0.211256245615739,"P16"
0.0331354258162625,0.163240758019057,"P17"
-0.476928544900008,0.119743262281954,"P18"
-0.0095944400936476,-0.0943251862576997,"P19"
-0.429028920446351,-0.0381403064995874,"P20"
0.24406007051064,0.30413036560022,"P21"
-0.159479027782177,0.374128837993332,"P22"
0.358814726973224,0.198195250882729,"P23"
0.120748306775824,0.3640937601638,"P24"
-0.0593409972724404,0.0771514355447991,"P25"
-0.496364792998826,0.0843729015668574,"P26"
-0.0676017369441562,-0.142141199781841,"P27"
-0.321681145312874,-0.123959703649638,"P28"
0.162455817885952,0.302797964039303,"P29"
0.00833214653858103,0.458392878901715,"P30"
0.384337558201295,0.162795316716016,"P31"
0.20291204877178,0.35625506013084,"P32"
