"dim1","dim2","id"
-0.00275871808983123,-0.116850968963439,"P01"
-0.137879228100912,0.174017207632756,"P02"
0.176851936139282,-0.238453209053879,"P03"
0.00306852886256411,0.0716603935716815,"P04"
-0.0367066364884026,-0.185305508131318,"P05"
-0.159353221995585,0.134113371878013,"P06"
0.138931699925078,-0.317357313077958,"P07"
-0.0217019053179096,0.0473575660156781,"P08"
0.0315503202282405,-0.144307209701793,"P09"
-0.102816688726273,0.17229423776526,"P10"
0.17824009464045,-0.280154271413749,"P11"
0.0137778713137383,0.0499511684389043,"P12"
-0.0534338728453796,-0.165391408127705,"P13"
-0.154084784977075,0.135867964312943,"P14"
0.17131835081751,-0.349369754625456,"P15"
0.00320488409024561,0.0267940582111519,"P16"
0.0398521738092213,-0.216357410613134,"P17"
-0.160971838732881,0.176894736443838,"P18"
0.230874706613782,-0.295108167841617,"P19"
0.00495939091810049,0.0847030206830812,"P20"
-0.0337182779930811,-0.331341879125322,"P21"
-0.22987756847279,0.159344798396857,"P22"
0.173385492395036,-0.427577588325467,"P23"
-0.055050315350536,0.0732453932616028,"P24"
0.112663026632494,-0.306394127190809,"P25"
-0.14441752926895,0.168690749429055,"P26"
0.255917743213436,-0.366074329893184,"P27"
0.0555045849585073,0.0805147654632846,"P28"
-0.0359258492004552,-0.313529635243731,"P29"
-0.23669219958196,0.158916704393154,"P30"
0.211910746100149,-0.442834833190607,"P31"
-0.0269317758924252,0.037126181318555,"P32"
