"audience_group","n_stimuli","mean_valence","sd_valence","mean_arousal","sd_arousal","mean_distance","sd_distance"
"Generic-listener control",96,0.423611111111111,0.317074222191221,0.847222222222222,0.333040807315308,1.04170760006601,0.349032291485338
"Neutral control",96,0.645833333333333,0.355614943870605,0.803819444444444,0.320812921808365,1.12165711750965,0.399602606460793
"OCEAN audience",96,0.367160373263889,0.242085786387302,0.450303819444444,0.231326935038156,0.743026873033496,0.270512530957265
