"bootstrap_id","mean_reduction"
1,0.0361395833333333
2,0.09485
3,0.0297458333333333
4,0.0317666666666667
5,0.058375
6,0.0517541666666667
7,0.06925
8,0.123672916666667
9,0.0424520833333333
10,0.04078125
11,0.0614604166666667
12,0.06665625
13,0.06373125
14,0.0469291666666667
15,0.0736083333333333
16,0.0878020833333333
17,0.0452604166666667
18,0.0920354166666666
19,0.09859375
20,0.0401041666666667
21,0.054875
22,0.0627395833333333
23,0.0627125
24,0.09869375
25,0.0936479166666667
26,0.0310479166666667
27,0.0564854166666667
28,0.06314375
29,0.0313270833333333
30,0.0152791666666667
31,0.0453791666666667
32,0.0796854166666666
33,0.00477916666666666
34,0.05826875
35,0.0177854166666667
36,0.0863958333333333
37,0.0574645833333333
38,0.02635625
39,0.0571333333333333
40,0.10438125
41,0.0413916666666667
42,0.0594166666666667
43,0.0422291666666667
44,-0.00620625000000001
45,0.0641270833333333
46,0.0831645833333333
47,0.0651
48,0.06568125
49,0.005825
50,0.0478895833333333
51,0.0447333333333333
52,0.1062125
53,0.0686770833333333
54,0.10349375
55,0.06821875
56,0.0413875
57,0.00597916666666666
58,0.06130625
59,0.03958125
60,0.07203125
61,0.0628020833333333
62,0.0637041666666667
63,0.0859041666666667
64,0.0668645833333333
65,0.0787229166666667
66,0.0363458333333333
67,0.000699999999999996
68,0.08876875
69,0.0510041666666667
70,0.0542125
71,0.109622916666667
72,-0.000337500000000006
73,0.0421041666666667
74,0.0987
75,0.109729166666667
76,0.0283395833333333
77,0.0516458333333333
78,0.0412291666666667
79,0.118327083333333
80,0.0310916666666667
81,0.08291875
82,0.0856291666666666
83,0.109060416666667
84,0.0606791666666667
85,0.07128125
86,0.04195
87,0.0478666666666667
88,0.0264958333333333
89,-0.0115958333333333
90,0.115291666666667
91,0.0325354166666667
92,0.0475
93,0.0889791666666667
94,0.0746333333333333
95,0.0115604166666667
96,0.106216666666667
97,0.0463458333333333
98,0.05530625
99,0.0438208333333333
100,0.0500604166666667
101,0.0792583333333333
102,0.00145624999999999
103,0.0754895833333333
104,0.0363645833333333
105,0.0693270833333333
106,0.00760416666666667
107,0.120354166666667
108,0.0314083333333333
109,0.04075
110,0.0891375
111,0.0842104166666666
112,0.0766270833333333
113,0.0961520833333333
114,0.05626875
115,0.0647333333333333
116,0.114139583333333
117,0.0757020833333333
118,0.0998
119,0.11594375
120,0.0947583333333333
121,0.0360520833333333
122,0.0501729166666667
123,0.0642395833333333
124,0.04713125
125,0.0538020833333333
126,0.0603916666666667
127,0.0651979166666667
128,0.0653229166666666
129,0.0536604166666667
130,0.0406791666666667
131,0.0688583333333333
132,0.06926875
133,0.0729916666666667
134,0.07425
135,0.0649333333333333
136,0.0378354166666667
137,0.0391875
138,0.0847895833333333
139,0.05846875
140,0.0393229166666667
141,0.0851
142,0.0564479166666667
143,0.00338541666666666
144,0.0546145833333333
145,0.0652666666666667
146,0.06525625
147,0.109979166666667
148,0.03765
149,0.0772166666666667
150,0.00743333333333333
151,0.0520166666666667
152,0.0574166666666667
153,0.02316875
154,0.0336395833333333
155,0.1163375
156,0.0139270833333333
157,0.07939375
158,0.1283375
159,0.0746458333333333
160,0.0526416666666667
161,0.0828395833333333
162,0.09874375
163,0.0491354166666667
164,0.0939583333333333
165,0.0550479166666667
166,0.0707729166666667
167,0.0840875
168,0.122566666666667
169,0.0509166666666667
170,0.0134875
171,0.111375
172,0.0167041666666667
173,0.0711083333333333
174,0.0774583333333333
175,0.0517958333333333
176,0.1181
177,0.0745979166666667
178,0.00223124999999999
179,0.08289375
180,0.085825
181,0.09576875
182,0.0624666666666667
183,0.0308916666666667
184,0.07348125
185,0.0746583333333333
186,0.0170375
187,0.0453916666666666
188,0.0584
189,0.0818458333333333
190,0.0668479166666667
191,0.0403375
192,0.00368333333333333
193,0.080625
194,0.0804520833333333
195,0.0588895833333333
196,0.105047916666667
197,0.0816333333333333
198,0.0670729166666666
199,0.045425
200,0.138770833333333
201,0.01650625
202,0.0229895833333333
203,0.021075
204,0.04959375
205,0.0680645833333333
206,0.0298416666666667
207,0.0505791666666667
208,0.0840645833333333
209,0.103620833333333
210,0.08115625
211,0.0199375
212,0.128110416666667
213,0.102402083333333
214,0.0597354166666667
215,0.0393854166666667
216,0.0890833333333333
217,0.0743979166666666
218,0.0454625
219,0.0843791666666667
220,0.0800104166666667
221,0.0347520833333333
222,0.0541166666666667
223,0.0828958333333333
224,0.0224458333333333
225,0.0790354166666667
226,0.04505625
227,0.0665125
228,0.0545833333333333
229,0.0463083333333333
230,0.0784541666666667
231,0.0188104166666667
232,0.0876020833333333
233,0.06285625
234,0.0997833333333333
235,0.04083125
236,0.0210020833333333
237,0.068875
238,0.06293125
239,0.09135
240,0.0316208333333333
241,0.0569458333333333
242,0.0623125
243,0.0677208333333333
244,0.12446875
245,0.10060625
246,0.0529604166666667
247,0.0310354166666667
248,0.0400604166666667
249,0.0218229166666667
250,0.0941041666666667
251,0.00291041666666666
252,0.03835
253,0.0525520833333333
254,0.104085416666667
255,0.0688375
256,0.0749208333333333
257,0.0221875
258,0.0358833333333333
259,0.03765625
260,0.0838729166666667
261,0.0216541666666667
262,0.03675625
263,0.0881395833333333
264,0.0588875
265,0.0836416666666667
266,0.0103291666666667
267,0.109820833333333
268,0.066475
269,0.01456875
270,0.0884895833333333
271,0.1118375
272,0.0438291666666667
273,0.105183333333333
274,0.0621
275,0.0259916666666667
276,0.0661270833333333
277,0.0578604166666667
278,0.0726729166666667
279,0.00851458333333333
280,0.0613666666666667
281,0.03279375
282,0.0718104166666667
283,0.0742604166666666
284,0.0759854166666667
285,0.0685375
286,0.0405770833333333
287,0.0571541666666667
288,0.102364583333333
289,0.0777979166666666
290,0.0372583333333333
291,0.0142916666666667
292,0.0182958333333333
293,0.0640666666666667
294,0.038925
295,0.0373375
296,-0.00964583333333334
297,0.08345625
